video,raw_score,clipped_score,caption
normal-fwd-Shopping Cart (1).mp4,0.195758,0.195758,"The animation ""Shopping Cart (1)"" depicts a simple shopping cart with two blue wheels. Initially, the cart is stationary, with the wheels positioned symmetrically beneath it. The cart itself is a black rectangle with horizontal lines representing the structure of the cart. 

As the animation progresses, the wheels begin to move independently. The left wheel starts rotating clockwise, while the right wheel rotates counterclockwise, simulating the motion of a real shopping cart rolling forward. The cart remains static in position throughout the animation, with no scaling or rotation applied to it. The wheels continue their respective rotations until the end of the animation, maintaining their initial positions relative to the cart.. Only return a JSON."
normal-fwd-circle__anticlockwise_180___ease-in__very_large__umber__dotted-gap-20__scale-0.5__sample-179.mp4,0.252122,0.252122,"A very large umber fine-dotted circular shape  with 20px spacing while it spins anticlockwise reaching 180° scaling up to 0.5x its original size, starting slowly with ease-in easing, completed in 2 seconds.. Only return a JSON."
normal-fwd-circle__anticlockwise_180___ease-in__very_small__blush__outline__scale-0.5__sample-449.mp4,0.247737,0.247737,"This very small blush thin-outline style round shape  that whirls anticlockwise toward 180° scaling up to 0.5x its original size, with a soft ease-in start, lasting throughout a 2-second animation.. Only return a JSON."
normal-fwd-circle__anticlockwise_225___ease-out__very_large__fuchsia__dotted-gap-20__scale-1.5__sample-670.mp4,0.236925,0.236925,A very large fuchsia small-dot style round shape  with 20px spacing which continues anticlockwise rotation up to 225° growing to 1.5x its size with a smooth ease-out finish within 2 seconds.. Only return a JSON.
normal-fwd-circle__anticlockwise_225___linear__small__sky__fill__scale-1.5__sample-521.mp4,0.243910,0.243910,"A small sky solid circle  while it twists anticlockwise to an angle of 225° scaling up to 1.5x its original size, using consistent linear pacing, within 2 seconds.. Only return a JSON."
normal-fwd-circle__clockwise_180___linear__extremely_large__stone__outline__scale-1.5__sample-124.mp4,0.227335,0.227335,"A extremely large stone thin-outline style perfect circle  gracefully where it turns clockwise up to 180° growing to 1.5x its size, enhanced by using consistent linear pacing, lasting for 2 seconds.. Only return a JSON."
normal-fwd-circle__clockwise_90___ease-in__extremely_large__neon_pink__fill__scale-0.5__sample-178.mp4,0.232718,0.232718,"A extremely large neon_pink solid-fill style round shape  gracefully as the shape continues clockwise rotation up to 90° expanding to 0.5x scale, enhanced by gradually accelerating through ease-in, taking 2 seconds.. Only return a JSON."
normal-fwd-icon_128.mp4,0.217387,0.217387,"The animation ""icon_128"" depicts a stylized house with a downward arrow inside it. The house is composed of a black outline with a white background. Inside the house, there is a black downward arrow pointing diagonally towards the bottom right corner.

Initially, the house and the arrow are static. There is no movement until the animation begins. As the animation progresses, the house remains stationary while the arrow rotates 90 degrees clockwise, changing its orientation from pointing diagonally down-right to pointing straight down. This rotation happens smoothly over a set duration, maintaining a consistent speed throughout the transformation.. Only return a JSON."
normal-fwd-icon_160.mp4,0.211444,0.211444,"The animation 'icon_160' depicts a simple line graph. It starts with a vertical axis and a horizontal axis forming a right angle. A line begins at the bottom left corner, rises slightly, dips, then rises again, and finally levels off towards the top right corner. 

The vertical axis remains static throughout the animation, maintaining its position and length. The horizontal axis also stays fixed in place. The line itself is the primary moving element, starting at the bottom left, rising, dipping, and then leveling off towards the top right. The line's movement is smooth and continuous, suggesting a gradual increase followed by a plateau. There are no changes in color or size; the line maintains a consistent thickness and black color against the white background.. Only return a JSON."
normal-fwd-icon_170.mp4,0.199811,0.199811,"The animation starts with a simple black outline of a suitcase against a white background. The suitcase has a rectangular body, a handle on top, and a small rectangular flap with a buckle on the side. As the animation progresses, a circular tag with a heart symbol appears below the suitcase. Initially, the tag is not visible, but it gradually enters the frame from the left side and rotates clockwise until it is fully in view. The tag remains stationary after its rotation, while the suitcase remains static throughout the animation. There are no changes in size, color, or additional transformations applied to either the suitcase or the tag. The timing of the animation is such that the tag's entry and rotation occur sequentially without overlapping with the suitcase's position.. Only return a JSON."
normal-fwd-icon_499.mp4,0.210959,0.210959,"The animation ""icon_499"" begins with a static image of a black outline of a briefcase against a white background. Inside the briefcase, there is a green circle containing a white ""X"" symbol. This initial frame remains unchanged throughout the sequence.

As the animation progresses, the green circle with the ""X"" symbol rotates 90 degrees clockwise. Simultaneously, the briefcase itself rotates 90 degrees counterclockwise, maintaining its position relative to the background. The rotation of both elements occurs in perfect synchronization, ensuring they remain aligned with each other after the transformation.

The animation ends with the briefcase and the green circle positioned 90 degrees apart from their original orientation, completing the rotation without any additional changes or movements.. Only return a JSON."
normal-fwd-icon_746.mp4,0.213418,0.213418,"The animation 'icon_746' depicts a circular loading icon. It consists of a large black circle with two smaller black arcs inside, positioned symmetrically. Initially, both arcs are in their starting positions. As the animation progresses, the arcs rotate clockwise around the center of the circle. The rotation is smooth and continuous, maintaining a consistent speed throughout the sequence. The arcs do not change size or color; they simply rotate within the confines of the larger circle. The timing is such that the arcs move in unison, completing a full rotation before the animation ends.. Only return a JSON."
normal-fwd-icon_763.mp4,0.211561,0.211561,"The animation 'icon_763' begins with a black outline of a rectangular shape with a curved top, resembling a slice of cake. Inside the rectangle, there is a circular shape, likely representing a hole in the cake. The animation starts by rotating the entire shape 180 degrees clockwise. Following this rotation, the shape remains static for a brief moment before the circular hole inside the rectangle begins to expand outward, creating a ripple effect across the surface of the rectangle. The animation ends with the rectangle returning to its original orientation and the circular hole reverting to its initial size. The background remains white throughout the animation, and no other shapes or colors are present.. Only return a JSON."
